Zonas  Turísticas;Periodo;Total
Andalucía: Costa De La Luz De Cádiz;2005M09;7,57
Andalucía: Costa De La Luz De Cádiz;2005M08;9,24
Andalucía: Costa De La Luz De Cádiz;2005M07;7,97
Andalucía: Costa De La Luz De Cádiz;2005M06;4,66
Andalucía: Costa De La Luz De Cádiz;2005M05;3,75
Andalucía: Costa De La Luz De Cádiz;2005M04;3,11
Andalucía: Costa De La Luz De Cádiz;2005M03;4,18
Andalucía: Costa De La Luz De Cádiz;2005M02;3,61
Andalucía: Costa De La Luz De Cádiz;2005M01;4,91
Andalucía: Costa Del Sol (Málaga);2022M08;5,87
Andalucía: Costa Del Sol (Málaga);2022M07;5,81
Andalucía: Costa Del Sol (Málaga);2022M06;4,76
Andalucía: Costa Del Sol (Málaga);2022M05;4,3
Andalucía: Costa Del Sol (Málaga);2022M04;4,48
Andalucía: Costa Del Sol (Málaga);2022M03;6,03
Andalucía: Costa Del Sol (Málaga);2022M02;4,63
Andalucía: Costa Del Sol (Málaga);2022M01;5,33
Andalucía: Costa Del Sol (Málaga);2021M12;4,49
Andalucía: Costa Del Sol (Málaga);2021M11;5,22
Andalucía: Costa Del Sol (Málaga);2021M10;4,98
Andalucía: Costa Del Sol (Málaga);2021M09;5,16
Andalucía: Costa Del Sol (Málaga);2021M08;5,29
Andalucía: Costa Del Sol (Málaga);2021M07;4,54
Andalucía: Costa Del Sol (Málaga);2021M06;3,73
Andalucía: Costa Del Sol (Málaga);2021M05;3,84
Andalucía: Costa Del Sol (Málaga);2021M04;5,76
Andalucía: Costa Del Sol (Málaga);2021M03;5,13
Andalucía: Costa Del Sol (Málaga);2021M02;6,22
Andalucía: Costa Del Sol (Málaga);2021M01;6,4
Andalucía: Costa Del Sol (Málaga);2020M12;5,09
Andalucía: Costa Del Sol (Málaga);2020M11;7,52
Andalucía: Costa Del Sol (Málaga);2020M10;4,15
Andalucía: Costa Del Sol (Málaga);2020M09;4,33
Andalucía: Costa Del Sol (Málaga);2020M08;5,18
Andalucía: Costa Del Sol (Málaga);2020M07;4,31
Andalucía: Costa Del Sol (Málaga);2020M06;.
Andalucía: Costa Del Sol (Málaga);2020M05;.
Andalucía: Costa Del Sol (Málaga);2020M04;0
Andalucía: Costa Del Sol (Málaga);2020M03;8,05
Andalucía: Costa Del Sol (Málaga);2020M02;5,46
Andalucía: Costa Del Sol (Málaga);2020M01;5,67
Andalucía: Costa Del Sol (Málaga);2019M12;4,46
Andalucía: Costa Del Sol (Málaga);2019M11;4,83
Andalucía: Costa Del Sol (Málaga);2019M10;5,32
Andalucía: Costa Del Sol (Málaga);2019M09;5,16
Andalucía: Costa Del Sol (Málaga);2019M08;5,56
Andalucía: Costa Del Sol (Málaga);2019M07;5,71
Andalucía: Costa Del Sol (Málaga);2019M06;4,96
Andalucía: Costa Del Sol (Málaga);2019M05;4,73
Andalucía: Costa Del Sol (Málaga);2019M04;4,78
Andalucía: Costa Del Sol (Málaga);2019M03;5,13
Andalucía: Costa Del Sol (Málaga);2019M02;5,13
Andalucía: Costa Del Sol (Málaga);2019M01;5,34
Andalucía: Costa Del Sol (Málaga);2018M12;4,54
Andalucía: Costa Del Sol (Málaga);2018M11;5,45
Andalucía: Costa Del Sol (Málaga);2018M10;5,87
Andalucía: Costa Del Sol (Málaga);2018M09;5,35
Andalucía: Costa Del Sol (Málaga);2018M08;6,05
Andalucía: Costa Del Sol (Málaga);2018M07;5,76
Andalucía: Costa Del Sol (Málaga);2018M06;5,34
Andalucía: Costa Del Sol (Málaga);2018M05;5,19
Andalucía: Costa Del Sol (Málaga);2018M04;5,1
Andalucía: Costa Del Sol (Málaga);2018M03;5,55
Andalucía: Costa Del Sol (Málaga);2018M02;5,99
Andalucía: Costa Del Sol (Málaga);2018M01;5,74
Andalucía: Costa Del Sol (Málaga);2017M12;4,67
Andalucía: Costa Del Sol (Málaga);2017M11;5,73
Andalucía: Costa Del Sol (Málaga);2017M10;5,46
Andalucía: Costa Del Sol (Málaga);2017M09;5,23
